t,ndyag,rogowsky,oscillator
6.42E-07,0.043478262,-2.6403162,0.010316205
6.43E-07,0.043478262,-2.4822135,0.011007905
6.43E-07,0.043478262,-2.6403162,0.011106719
6.43E-07,0.063241109,-2.6403162,0.010711462
6.44E-07,0.023715414,-2.4822135,0.010711462
6.44E-07,0.063241109,-2.4822135,0.010513834
6.45E-07,0.083003953,-2.403162,0.010612648
6.45E-07,0.043478262,-2.4822135,0.010415019
6.45E-07,0.063241109,-2.5612648,0.010810276
6.46E-07,0.043478262,-2.5612648,0.011007905
6.46E-07,0.0039525693,-2.403162,0.010415019
6.47E-07,0.083003953,-2.4822135,0.010810276
6.47E-07,0.063241109,-2.5612648,0.010909091
6.47E-07,0.063241109,-2.4822135,0.010711462
6.48E-07,0.0039525693,-2.4822135,0.010810276
6.48E-07,0.023715414,-2.403162,0.011106719
6.49E-07,0.043478262,-2.5612648,0.010118577
6.49E-07,0.023715414,-2.5612648,0.010711462
6.49E-07,0.043478262,-2.5612648,0.010118577
6.50E-07,0.023715414,-2.403162,0.010217391
6.50E-07,0.043478262,-2.3241107,0.010415019
6.51E-07,0.083003953,-2.2450593,0.010316205
6.51E-07,0.0039525693,-2.2450593,0.010019762
6.51E-07,0.0039525693,-2.403162,0.010316205
6.52E-07,0.083003953,-2.403162,0.010217391
6.52E-07,0.043478262,-2.2450593,0.010316205
6.53E-07,0.023715414,-2.403162,0.010415019
6.53E-07,0.023715414,-2.4822135,0.010217391
6.53E-07,0.043478262,-2.3241107,0.0097233206
6.54E-07,0.063241109,-2.166008,0.010513834
6.54E-07,0.023715414,-2.166008,0.010415019
6.55E-07,0.043478262,-2.2450593,0.010118577
6.55E-07,0.023715414,-2.3241107,0.0099209482
6.55E-07,0.063241109,-2.2450593,0.010217391
6.56E-07,0.023715414,-2.2450593,0.010217391
6.56E-07,0.023715414,-2.3241107,0.0098221339
6.57E-07,0.0039525693,-2.2450593,0.010415019
6.57E-07,0.023715414,-2.2450593,0.010118577
6.57E-07,0.043478262,-2.3241107,0.010019762
6.58E-07,0.063241109,-2.166008,0.010217391
6.58E-07,0.043478262,-2.2450593,0.010415019
6.59E-07,0.023715414,-2.2450593,0.010415019
6.59E-07,0.043478262,-2.2450593,0.010415019
6.59E-07,0.043478262,-2.403162,0.0099209482
6.60E-07,0.023715414,-2.166008,0.0099209482
6.60E-07,0.023715414,-2.2450593,0.0098221339
6.61E-07,0.063241109,-2.3241107,0.010415019
6.61E-07,0.043478262,-2.3241107,0.010019762
6.61E-07,0.023715414,-2.2450593,0.010217391
6.62E-07,0.023715414,-2.0869565,0.010217391
6.62E-07,0.083003953,-2.0079052,0.010118577
6.63E-07,0.043478262,-2.0079052,0.010118577
6.63E-07,0.023715414,-2.166008,0.0099209482
6.63E-07,0.023715414,-2.0079052,0.010217391
6.64E-07,0.0039525693,-2.166008,0.010316205
6.64E-07,0.043478262,-2.166008,0.010415019
6.65E-07,0.043478262,-2.0869565,0.010217391
6.65E-07,0.023715414,-2.403162,0.010019762
6.65E-07,0.043478262,-2.166008,0.0099209482
6.66E-07,0.0039525693,-2.0869565,0.010316205
6.66E-07,0.063241109,-1.9288538,0.010019762
6.67E-07,0.043478262,-2.2450593,0.0096245063
6.67E-07,0.023715414,-2.3241107,0.0099209482
6.67E-07,0.023715414,-2.3241107,0.0098221339
6.68E-07,0.063241109,-2.0079052,0.0099209482
6.68E-07,0.043478262,-2.0079052,0.010217391
6.69E-07,0.0039525693,-1.9288538,0.0099209482
6.69E-07,0.0039525693,-2.0079052,0.0097233206
6.69E-07,0.043478262,-2.0869565,0.0096245063
6.70E-07,0.023715414,-2.0079052,0.0097233206
6.70E-07,0.043478262,-1.9288538,0.0096245063
6.71E-07,0.063241109,-2.0869565,0.0098221339
6.71E-07,0.043478262,-2.166008,0.0098221339
6.71E-07,0.023715414,-2.0079052,0.0096245063
6.72E-07,0.043478262,-2.0079052,0.0097233206
6.72E-07,0.043478262,-1.9288538,0.0096245063
6.73E-07,0.043478262,-2.0079052,0.010316205
6.73E-07,0.0039525693,-2.0079052,0.0096245063
6.73E-07,0.0039525693,-1.8498024,0.0099209482
6.74E-07,0.043478262,-2.0869565,0.0097233206
6.74E-07,0.043478262,-2.0869565,0.0099209482
6.75E-07,0.043478262,-2.0079052,0.0096245063
6.75E-07,0.023715414,-2.0079052,0.0099209482
6.75E-07,0.043478262,-2.0869565,0.0099209482
6.76E-07,0.023715414,-1.9288538,0.0096245063
6.76E-07,0.043478262,-1.9288538,0.0099209482
6.77E-07,0.043478262,-1.9288538,0.0098221339
6.77E-07,0.023715414,-1.770751,0.0095256921
6.77E-07,0.023715414,-1.9288538,0.0096245063
6.78E-07,0.043478262,-2.0079052,0.0094268778
6.78E-07,0.0039525693,-2.0079052,0.0092292493
6.79E-07,0.043478262,-2.166008,0.0097233206
6.79E-07,0.023715414,-1.9288538,0.0092292493
6.79E-07,0.023715414,-1.9288538,0.0097233206
6.80E-07,0.023715414,-1.770751,0.0098221339
6.80E-07,0.023715414,-1.9288538,0.0098221339
6.81E-07,0.043478262,-1.8498024,0.0098221339
6.81E-07,0.043478262,-1.9288538,0.0096245063
6.81E-07,0.023715414,-2.0079052,0.0094268778
6.82E-07,0.0039525693,-1.8498024,0.0099209482
6.82E-07,0.063241109,-1.9288538,0.0098221339
6.83E-07,0.023715414,-1.770751,0.0095256921
6.83E-07,0.043478262,-1.9288538,0.010019762
6.83E-07,0.023715414,-1.8498024,0.0099209482
6.84E-07,0.043478262,-1.8498024,0.0094268778
6.84E-07,0.043478262,-1.770751,0.0093280636
6.85E-07,0.023715414,-1.770751,0.0097233206
6.85E-07,0.023715414,-1.8498024,0.0094268778
6.85E-07,0.043478262,-1.9288538,0.0098221339
6.86E-07,0.043478262,-1.8498024,0.0095256921
6.86E-07,0.043478262,-1.770751,0.0093280636
6.87E-07,0.063241109,-1.5335969,0.0095256921
6.87E-07,0.023715414,-1.8498024,0.0095256921
6.87E-07,0.023715414,-1.9288538,0.0094268778
6.88E-07,0.043478262,-1.770751,0.0096245063
6.88E-07,0.1027668,-1.9288538,0.0092292493
6.89E-07,0.043478262,-1.770751,0.0094268778
6.89E-07,0.023715414,-1.9288538,0.0094268778
