t,ndyag,d01,d02,d03,d04,d05,d06,d07,d08,d09
5.89554777388694e-07,0.014940688,-1.6916996,-1.7441946,-1.6392045,-1.7973073,-1.7441946,-1.9022974,-1.7441946,-1.8498024,-1.6916996
5.90155077538769e-07,0.014940688,-1.7973073,-1.6916996,-1.7441946,-1.7973073,-1.7441946,-1.7973073,-1.7973073,-1.7973073,-1.7441946
5.90755377688844e-07,0.006672724,-1.8498024,-1.6916996,-1.6916996,-1.7441946,-1.8498024,-1.7973073,-1.5860919,-1.6916996,-1.6916996
5.91355677838919e-07,0.014940688,-1.8498024,-1.7441946,-1.5335969,-1.7441946,-1.6392045,-1.8498024,-1.7973073,-1.7441946,-1.5860919
5.91955977988994e-07,0.023208726,-1.8498024,-1.7973073,-1.5335969,-1.6916996,-1.7441946,-1.7441946,-1.6916996,-1.8498024,-1.6392045
5.9255627813907e-07,0.023208726,-1.6916996,-1.6916996,-1.8498024,-1.7441946,-1.8498024,-1.7441946,-1.7973073,-1.6392045,-1.7973073
5.93156578289145e-07,0.014940688,-1.6916996,-1.6392045,-1.7973073,-1.6392045,-1.4811018,-1.6916996,-1.6392045,-1.6392045,-1.6392045
5.9375687843922e-07,0.014940688,-1.7441946,-1.7973073,-1.6916996,-1.7973073,-1.6392045,-1.6916996,-1.7441946,-1.5860919,-1.5860919
5.94357178589295e-07,0.014940688,-1.6392045,-1.7973073,-1.6392045,-1.6916996,-1.7441946,-1.8498024,-1.7441946,-1.7441946,-1.6916996
5.9495747873937e-07,0.023208726,-1.7441946,-1.7973073,-1.6916996,-1.6916996,-1.6916996,-1.7973073,-1.6916996,-1.7441946,-1.6392045
5.95557778889445e-07,0.031573945,-1.7441946,-1.5860919,-1.6392045,-1.6916996,-1.6392045,-1.6916996,-1.6916996,-1.6392045,-1.6392045
5.9615807903952e-07,0.023208726,-1.7441946,-1.7441946,-1.4811018,-1.4279891,-1.9554101,-1.6916996,-1.6392045,-1.6916996,-1.5335969
5.96758379189595e-07,0.014940688,-1.4811018,-1.6392045,-1.5860919,-1.6392045,-1.5860919,-1.8498024,-1.6916996,-1.7441946,-1.5860919
5.9735867933967e-07,0.014940688,-1.6916996,-1.5860919,-1.4811018,-1.6392045,-1.7441946,-1.8498024,-1.5335969,-1.6916996,-1.5860919
5.97958979489745e-07,0.023208726,-1.5860919,-1.6916996,-1.6916996,-1.7973073,-1.6916996,-1.7441946,-1.5335969,-1.6916996,-1.6392045
5.9855927963982e-07,0.031573945,-1.5860919,-1.6916996,-1.6916996,-1.3754941,-1.5860919,-1.5860919,-1.5335969,-1.5335969,-1.6392045
5.99159579789895e-07,0.014940688,-1.6392045,-1.6916996,-1.4811018,-1.5335969,-1.7441946,-1.6392045,-1.7441946,-1.9022974,-1.6392045
5.9975987993997e-07,0.023208726,-1.7441946,-1.4811018,-1.6392045,-1.5335969,-1.5335969,-1.6392045,-1.5860919,-1.7441946,-1.6392045
6.00360180090045e-07,0.031573945,-1.6392045,-1.6916996,-1.6392045,-1.6392045,-1.6916996,-1.6916996,-1.7973073,-1.7973073,-1.6916996
6.0096048024012e-07,0.014940688,-1.5335969,-1.6392045,-1.5335969,-1.4811018,-1.7973073,-1.7441946,-1.6392045,-1.7441946,-1.6392045
6.01560780390195e-07,0.031573945,-1.7973073,-1.5860919,-1.6392045,-1.6392045,-1.4811018,-1.4811018,-1.5335969,-1.5335969,-1.5335969
6.0216108054027e-07,0.006672724,-1.6916996,-1.5860919,-1.6392045,-1.5860919,-1.6392045,-1.5335969,-1.5335969,-1.5860919,-1.6392045
6.02761380690345e-07,0.023208726,-1.6392045,-1.6392045,-1.6392045,-1.5860919,-1.5335969,-1.5860919,-1.5860919,-1.6392045,-1.5335969
6.0336168084042e-07,0.014940688,-1.5335969,-1.4279891,-1.4811018,-1.6916996,-1.4811018,-1.6392045,-1.5335969,-1.6392045,-1.7973073
6.03961980990495e-07,0.031573945,-1.5335969,-1.5860919,-1.4279891,-1.4279891,-1.6916996,-1.4811018,-1.5335969,-1.5335969,-1.4811018
6.0456228114057e-07,0.014940688,-1.6916996,-1.5335969,-1.4279891,-1.6916996,-1.5335969,-1.5335969,-1.5335969,-1.5335969,-1.4279891
6.05162581290645e-07,0.014940688,-1.6392045,-1.5860919,-1.4279891,-1.4279891,-1.5860919,-1.4811018,-1.6392045,-1.5860919,-1.4811018
6.0576288144072e-07,0.039841908,-1.5335969,-1.5335969,-1.4279891,-1.5860919,-1.6392045,-1.4279891,-1.5860919,-1.6916996,-1.5335969
6.06363181590795e-07,0.031573945,-1.5335969,-1.4811018,-1.6392045,-1.5335969,-1.5335969,-1.5335969,-1.7973073,-1.4811018,-1.6392045
6.0696348174087e-07,0.048109871,-1.5335969,-1.5860919,-1.5860919,-1.4279891,-1.4811018,-1.5860919,-1.5335969,-1.5860919,-1.6392045
6.07563781890945e-07,0.023208726,-1.6392045,-1.6392045,-1.4279891,-1.4811018,-1.6392045,-1.5335969,-1.5335969,-1.5860919,-1.5860919
6.08164082041021e-07,0.023208726,-1.4279891,-1.5335969,-1.5335969,-1.4279891,-1.6916996,-1.6392045,-1.6916996,-1.5860919,-1.5860919
6.08764382191095e-07,0.023208726,-1.5335969,-1.3754941,-1.4811018,-1.4811018,-1.5335969,-1.5335969,-1.5860919,-1.5860919,-1.5335969
6.09364682341171e-07,0.006672724,-1.4811018,-1.5335969,-1.4811018,-1.4811018,-1.322999,-1.5335969,-1.5860919,-1.3754941,-1.7441946
6.09964982491246e-07,0.031573945,-1.3754941,-1.5335969,-1.5335969,-1.3754941,-1.4811018,-1.6392045,-1.6392045,-1.5335969,-1.4811018
6.10565282641321e-07,0.031573945,-1.4811018,-1.3754941,-1.4279891,-1.6392045,-1.5335969,-1.5860919,-1.4811018,-1.5335969,-1.5335969
6.11165582791396e-07,0.014940688,-1.5860919,-1.6392045,-1.4811018,-1.3754941,-1.5860919,-1.6916996,-1.5335969,-1.6392045,-1.4811018
6.11765882941471e-07,0.023208726,-1.322999,-1.5335969,-1.5335969,-1.4811018,-1.4811018,-1.5335969,-1.4811018,-1.5860919,-1.3754941
