t,ndyag,d01,d02,d03,d04,d05,d06,d07,d08,d09,d10,d11,d12
-7.56E-08,0.02320872561,-0.0152714625,-0.0152714625,-0.0290514,-0.0013293,-0.0013293,0.012450585,-0.056773374,-0.0428313375,0.012450585,-0.0013293,-0.0428313375,-0.0152714625
-7.50E-08,0.01494068751,-0.0152714625,-0.0290514,0.026230575,-0.0013293,0.012450585,-0.0013293,-0.0290514,-0.0013293,-0.0013293,-0.0290514,-0.0152714625,-0.0152714625
-7.44E-08,0.01494068751,0.012450585,-0.0428313375,-0.0013293,-0.0152714625,-0.0152714625,-0.0013293,-0.0013293,-0.0013293,-0.0290514,-0.0013293,-0.0290514,0.04017258
-7.38E-08,0.01494068751,0.012450585,-0.0013293,-0.0152714625,-0.0152714625,-0.0013293,-0.0152714625,0.026230575,-0.0013293,-0.0013293,-0.0152714625,-0.0013293,0.026230575
-7.32E-08,0.01494068751,0.012450585,-0.0290514,-0.0013293,0.012450585,0.04017258,0.012450585,0.012450585,-0.0290514,-0.0152714625,-0.0290514,-0.0013293,-0.0152714625
-7.26E-08,0.02320872561,-0.0013293,-0.0152714625,-0.0290514,-0.0428313375,-0.0013293,-0.0152714625,-0.0013293,-0.0152714625,-0.0290514,-0.0428313375,-0.0152714625,-0.0152714625
-7.20E-08,0.01494068751,-0.0152714625,0.026230575,-0.0013293,-0.056773374,-0.0152714625,0.012450585,-0.0013293,-0.056773374,-0.056773374,-0.0152714625,-0.0290514,-0.0428313375
-7.14E-08,0.01494068751,-0.0152714625,0.026230575,-0.0428313375,-0.0013293,-0.0290514,-0.0428313375,-0.0152714625,0.012450585,-0.0152714625,-0.0152714625,-0.0152714625,-0.0290514
-7.08E-08,0.02320872561,-0.0013293,0.026230575,-0.0152714625,-0.0290514,-0.0428313375,-0.0290514,-0.0013293,0.026230575,-0.0428313375,-0.0152714625,0.012450585,-0.0152714625
-7.02E-08,-0.001692495315,-0.0428313375,-0.0152714625,-0.0428313375,-0.0428313375,-0.0428313375,-0.0013293,0.012450585,0.04017258,-0.0290514,-0.0013293,-0.0290514,-0.0428313375
-6.96E-08,0.02320872561,-0.0428313375,0.026230575,-0.056773374,-0.0290514,-0.0013293,-0.0428313375,-0.0290514,-0.0013293,-0.0013293,-0.0152714625,-0.0013293,0.026230575
-6.90E-08,0.02320872561,0.012450585,-0.0152714625,-0.0290514,-0.0152714625,-0.0290514,-0.0152714625,0.012450585,-0.0013293,-0.0152714625,-0.0152714625,-0.0013293,-0.0152714625
-6.84E-08,0.01494068751,-0.0013293,-0.0290514,-0.0428313375,-0.0152714625,-0.0152714625,0.012450585,-0.0013293,-0.0428313375,-0.0013293,-0.0152714625,-0.0290514,-0.0290514
-6.78E-08,0.01494068751,-0.0152714625,-0.0013293,-0.0428313375,-0.0290514,-0.0152714625,0.04017258,-0.0290514,-0.0013293,0.026230575,-0.0152714625,-0.0290514,-0.0152714625
-6.72E-08,0.01494068751,-0.0013293,-0.0152714625,-0.0152714625,-0.0290514,-0.0152714625,0.012450585,0.012450585,-0.0428313375,0.026230575,-0.0290514,-0.0152714625,-0.0013293
-6.66E-08,0.01494068751,0.026230575,0.012450585,-0.0152714625,-0.0290514,-0.0152714625,-0.0152714625,-0.0290514,-0.0013293,0.012450585,-0.0152714625,0.012450585,-0.0013293
-6.60E-08,0.00667272438,0.012450585,-0.0290514,-0.0152714625,0.04017258,0.05395257,-0.0013293,-0.0013293,-0.0152714625,-0.0013293,-0.0013293,-0.0013293,-0.0013293
